year_week,clean_region,clean_therapeutic_area,clean_brand,alert_category,alert_type,severity_level,previous_share_pp,current_share_pp,share_shift_pp,share_shift_bps,dynamic_upper_threshold,dynamic_lower_threshold,statistical_z_score,isolation_forest_score,triggered_techniques,executive_brief
2022-W15,Andhra Pradesh,Cardiology,Corvyx Pharma,REGIONAL SHARE DECLINE,REGIONAL SHARE DECLINE,REGIONAL SHARE DECLINE,16.0984393757503,13.029442148760332,-3.0689972269899677,-306.89972269899675,2.441374233958657,-0.8945854430924715,-6.149507822767893,0.13381902464084233,"MA Trend Deviation, Robust Z-Score Spike, Volatility Envelope Breach",Regional Share Decline for Corvyx Pharma in Andhra Pradesh (Shift: -3.07 pp / -307 bps). Current Share: 13.03%.
2022-W16,Andhra Pradesh,Cardiology,Corvyx Pharma,REGIONAL GROWTH SPIKE,REGIONAL GROWTH SPIKE,REGIONAL GROWTH SPIKE,13.029442148760332,18.24155765135382,5.2121155025934875,521.2115502593488,6.827080819629468,-7.505963744385068,4.43550526739319,0.012121101461647021,"MA Trend Deviation, Robust Z-Score Spike",Regional Growth Spike for Corvyx Pharma in Andhra Pradesh (Shift: +5.21 pp / +521 bps). Current Share: 18.24%.
2022-W18,Andhra Pradesh,Cardiology,Corvyx Pharma,REGIONAL GROWTH SPIKE,REGIONAL GROWTH SPIKE,REGIONAL GROWTH SPIKE,18.24155765135382,22.22610152922282,3.984543877869001,398.4543877869001,13.381400596851226,-11.498787282203228,0.594264958459772,-0.05608140527598071,Isolation Forest ML,Regional Growth Spike for Corvyx Pharma in Andhra Pradesh (Shift: +3.98 pp / +398 bps). Current Share: 22.23%.
2022-W19,Andhra Pradesh,Cardiology,Corvyx Pharma,REGIONAL SHARE DECLINE,REGIONAL SHARE DECLINE,REGIONAL SHARE DECLINE,22.22610152922282,16.819193668068266,-5.406907861154554,-540.6907861154555,15.449802216897911,-11.364694114582896,-5.160215559229057,0.014406839082083733,"MA Trend Deviation, Robust Z-Score Spike",Regional Share Decline for Corvyx Pharma in Andhra Pradesh (Shift: -5.41 pp / -541 bps). Current Share: 16.82%.
2022-W20,Andhra Pradesh,Cardiology,Corvyx Pharma,REGIONAL SHARE DECLINE,REGIONAL SHARE DECLINE,REGIONAL SHARE DECLINE,16.819193668068266,15.162907268170425,-1.6562863998978408,-165.62863998978406,18.690382588052163,-16.16388157518021,-3.0994036891392485,0.13526697019170592,"MA Trend Deviation, Robust Z-Score Spike",Regional Share Decline for Corvyx Pharma in Andhra Pradesh (Shift: -1.66 pp / -166 bps). Current Share: 15.16%.
2022-W23,Andhra Pradesh,Cardiology,Corvyx Pharma,REGIONAL GROWTH SPIKE,REGIONAL GROWTH SPIKE,REGIONAL GROWTH SPIKE,14.367360796740606,16.630552546045504,2.263191749304898,226.3191749304898,4.870025564666501,-6.504580812218275,5.3680924258071006,0.12897482171913377,"MA Trend Deviation, Robust Z-Score Spike",Regional Growth Spike for Corvyx Pharma in Andhra Pradesh (Shift: +2.26 pp / +226 bps). Current Share: 16.63%.
2022-W24,Andhra Pradesh,Cardiology,Corvyx Pharma,REGIONAL SHARE DECLINE,REGIONAL SHARE DECLINE,REGIONAL SHARE DECLINE,16.630552546045504,14.382291355070295,-2.2482611909752084,-224.82611909752083,7.477494949535893,-6.49906476428584,-2.669538877823436,0.11295761500740437,MA Trend Deviation,Regional Share Decline for Corvyx Pharma in Andhra Pradesh (Shift: -2.25 pp / -225 bps). Current Share: 14.38%.
2022-W26,Andhra Pradesh,Cardiology,Corvyx Pharma,REGIONAL GROWTH SPIKE,REGIONAL GROWTH SPIKE,REGIONAL GROWTH SPIKE,14.382291355070295,16.00228115198175,1.6199897969114563,161.99897969114562,7.018063959971076,-8.440622411429588,10.0,0.13896560489878174,"MA Trend Deviation, Robust Z-Score Spike",Regional Growth Spike for Corvyx Pharma in Andhra Pradesh (Shift: +1.62 pp / +162 bps). Current Share: 16.00%.
2022-W28,Andhra Pradesh,Cardiology,Corvyx Pharma,REGIONAL GROWTH SPIKE,REGIONAL GROWTH SPIKE,REGIONAL GROWTH SPIKE,17.37993920972644,20.06006006006006,2.680120850333619,268.0120850333619,6.750108713400956,-6.250517604280332,3.625241813647293,0.04537212286871739,"MA Trend Deviation, Robust Z-Score Spike",Regional Growth Spike for Corvyx Pharma in Andhra Pradesh (Shift: +2.68 pp / +268 bps). Current Share: 20.06%.
2022-W29,Andhra Pradesh,Cardiology,Corvyx Pharma,REGIONAL SHARE DECLINE,REGIONAL SHARE DECLINE,REGIONAL SHARE DECLINE,20.06006006006006,13.638217302650743,-6.421842757409317,-642.1842757409318,3.970693938296507,-0.18551480163666345,-10.0,-0.00599670239815886,"MA Trend Deviation, Robust Z-Score Spike, Volatility Envelope Breach, Isolation Forest ML",Regional Share Decline for Corvyx Pharma in Andhra Pradesh (Shift: -6.42 pp / -642 bps). Current Share: 13.64%.
